node_1|node_2|edge|chunk_id
全极化有源相控阵雷达系统架构|气象探测|全极化有源相控阵雷达系统架构针对气象探测领域对高精度、多维度观测的需求提出，以提升目标分类能力。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
全极化有源相控阵雷达系统架构|粤港澳大湾区天气观测网|该架构在粤港澳大湾区建成国内首个超精细化天气观测网，覆盖华南地区气象局及科研院所。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
fmcw雷达信号处理算法|多目标场景距离与速度测量|FMCW雷达信号处理算法优化旨在提升在多目标场景下的距离与速度测量精度。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
fmcw雷达信号处理算法|二次fft处理|采用二次FFT处理多帧数据，生成距离-多普勒图，提取目标距离与速度信息。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
fmcw雷达信号处理算法|hamming窗函数|引入Hamming窗函数平衡主峰明显度与频谱泄露，优化目标分离效果。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
doherty功率放大器|雷达射频前端|Doherty功率放大器用于雷达射频前端的设计与优化，以提升功率回退效率和线性度。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
doherty功率放大器|功率效率提升40%|Doherty架构使功率效率较传统设计提升40%，线性度改善15dB。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
汽车毫米波雷达天线|360度无死角覆盖|汽车毫米波雷达天线需实现360度无死角覆盖，以适应自动驾驶等级提升的需求。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
汽车毫米波雷达天线|64通道相控阵天线|采用64通道相控阵天线，通过电子控制相位差调整波束方向，实现高增益与全向覆盖。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
汽车毫米波雷达天线|智能反射面（isr）技术|结合智能反射面（ISR）技术，动态优化信号传播路径，增强抗干扰能力。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
雷达系统外场试验方法|动态目标测试|测试方法中使用无人机靶标模拟高速移动目标，用于验证目标检测性能。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
雷达系统外场试验方法|抗干扰测试|施加阻塞式/欺骗式干扰，评估系统在复杂电磁环境下的鲁棒性。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
智能超表面赋能的通信感知一体化雷达架构|通信感知一体化|该架构探索利用智能超表面实现通信与感知功能的融合，以提升系统灵活性与低功耗。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
智能超表面赋能的通信感知一体化雷达架构|全息mimo雷达架构|提出基于智能超表面的全息MIMO雷达架构，通过编程控制超表面单元动态调控电磁波前向。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
雷达研发细分领域|系统架构领域|雷达研发细分领域包括系统架构领域，该领域研究雷达整体架构设计。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
雷达研发细分领域|信号处理领域|雷达研发细分领域包括信号处理领域，该领域研究雷达信号算法优化。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
雷达研发细分领域|射频硬件领域|雷达研发细分领域包括射频硬件领域，该领域研究雷达前端硬件设计与优化。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
雷达研发细分领域|天线技术领域|雷达研发细分领域包括天线技术领域，该领域研究天线增益与方向图优化。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
雷达研发细分领域|测试验证领域|雷达研发细分领域包括测试验证领域，该领域研究外场试验与抗干扰性能验证。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
雷达研发细分领域|雷达系统架构创新研究|《雷达系统架构创新研究》属于雷达研发细分领域中的系统架构领域。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
雷达研发细分领域|fmcw雷达信号处理算法优化|《FMCW雷达信号处理算法优化与实验验证》属于雷达研发细分领域中的信号处理领域。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
